,project_name,release_no,language,category,release_content,pull_request_titles,commit_msgs,issue_titles,pr_link,commit_link,issue_link
0,vue,2.7.14,javascript,bugfix,compiler-sfc: fix template usage check edge case for v-slot destructured default value,fix(compiler-sfc): fix template usage check edge case for v-slot destructured default value,fix(compiler-sfc): fix template usage check edge case for v-slot destructured default value,Destructured default value failed on named slots,https://github.com/vuejs/vue/pull/12842,https://github.com/vuejs/vue/commit/5e3d4e90cdf92ec0a72bbb2bd44125f1faafae1d,https://github.com/vuejs/vue/issues/12841
1,vue,2.7.14,javascript,bugfix,provide/inject: do not mutate original provide options during merge,,fix(provide/inject): do not mutate original provide options during merge,usage of provide: mutates mixins,,https://github.com/vuejs/vue/commit/d1899caf688de961e63e7a0d56f806fc4a12efd9,https://github.com/vuejs/vue/issues/12854
2,vue,2.7.14,javascript,bugfix,reactivity: avoid using WeakMap for IE compatibility,,fix(reactivity): avoid using WeakMap for IE compatibility,WeakMap' is undefined in Vue 2.7.11 and above (IE10 and under),,https://github.com/vuejs/vue/commit/29b5f588032600baae9854ac9a4105916a5aa648,https://github.com/vuejs/vue/issues/12837
3,vue,2.7.14,javascript,bugfix,types: fix spreading VNodeData in tsx,fix(types):fix Spreading data functional components TSX type error,fix(types): fix spreading VNodeData in tsx,Spreading data functional components TSX type error,https://github.com/vuejs/vue/pull/12789,https://github.com/vuejs/vue/commit/f7db7f361b6356591781b9f33abbb0d5b7f9b97c,https://github.com/vuejs/vue/issues/12778
4,vue,2.7.14,javascript,bugfix,types: stricter type condition for EventHandlers,"fix(types): stricter type condition for EventHandlers"" ",fix(types): stricter type condition for EventHandlers,"EventHandlers type error, DOM's Event was tainted byï¿½@types/node",https://github.com/vuejs/vue/pull/12840,https://github.com/vuejs/vue/commit/0b3cf7dda9ac605b2b9f799acacd2793e974f225,https://github.com/vuejs/vue/issues/12832
5,vue,2.7.13,javascript,bugfix,effectScope: calling off() of a detached scope should not break currentScope,,fix(effectScope): calling off() of a detached scope should not breakcurrentScope,Creating a vm in a detached EffectScope before any other vm is initialized breaks tracking of the activeEffectScope,,https://github.com/vuejs/vue/commit/800207c473c7d6dfcdc883100a3d443fc5ad2e39,https://github.com/vuejs/vue/issues/12825
6,vue,2.7.13,javascript,bugfix,types: style attribute svg,fix(types): style attribute svg,fix(types): style attribute svg,,https://github.com/vuejs/vue/pull/12800,https://github.com/vuejs/vue/commit/8e262618cdc3251ca9630b17de4a000567ffb007,
7,vue,2.7.13,javascript,bugfix,watch: avoid traversing objects that are marked non-reactive,fix(watch): avoid traversing objects that are marked non-reactive,fix(watch): avoid traversing objects that are marked non-reactive,,https://github.com/vuejs/vue/pull/12806,https://github.com/vuejs/vue/commit/5960f05c69099c174062b6672c7a21d717a3bccf,
8,vue,2.7.11,javascript,bugfix,build: enforce LF line ending in built files,,fix(build): enforce LF line ending in built files,dist/vue.esm.js 2.7.10 has mixed EOL - build is unstable,,https://github.com/vuejs/vue/commit/738f4b3c570dc3a1818924a203a9f8e4b1ec90f0,https://github.com/vuejs/vue/issues/12819
9,vue,2.7.11,javascript,bugfix,compiler-sfc: export parseComponent for compat with fork-ts-checker-webpack-plugin,,,,,https://github.com/vuejs/vue/commit/0d6d972b32521fd18eb853b1073c0a19859a499a,https://github.com/vuejs/vue/issues/12719
10,vue,2.7.11,javascript,bugfix,reactivity: check skip first before checking ref when creating observer,fix(12812): skip the component while creating observer,fix(reactivity): check skip first before checking ref when creating observer,"while creating observe, a vue component has not been skipped",https://github.com/vuejs/vue/pull/12813,https://github.com/vuejs/vue/commit/5d26f815c643d41e6ca6f29329593223b981fc24,https://github.com/vuejs/vue/issues/12812
11,vue,2.7.11,javascript,bugfix,"reactivity: use WeakMap for proxy/raw checks, compat with non-extensible objects",fix: vue2.7 use readonly on frozen object causeing error,"fix(reactivity): use WeakMap for proxy/raw checks, compat with non-extensible objects",[2.7.10] readonly on frozen object causing TypeError: Cannot define property __v_rawToReadonly,https://github.com/vuejs/vue/pull/12798,https://github.com/vuejs/vue/commit/4a0d88e46e4180edc7f22e36c25df3f8ac5d60d2,https://github.com/vuejs/vue/issues/12799
12,vue,2.7.11,javascript,bugfix,setup: setup hook should be called before beforeCreate,,fix(setup): setup hook should be called before beforeCreate,Order of setup vs beforeCreate not consistent with Vue 3 behavior,,https://github.com/vuejs/vue/commit/e1342df7847a51c75192fec74e94378178e046b0,https://github.com/vuejs/vue/issues/12802
13,vue,2.7.11,javascript,bugfix,sfc:prune returned bindings for non-TS as well,,fix(sfc): prune returned bindings for non-TS as well,SFC <script setup> not tree-shakable,,https://github.com/vuejs/vue/commit/fb1393009660b38046b1f6dfb532b481cc53b3b7,https://github.com/vuejs/vue/issues/12765
